,x_mso_km,y_mso_km,z_mso_km,r_hel_AU,di,bx_mes_nT,by_mes_nT,bz_mes_nT,time_YYYYMMDDHHmm
0,-1256.467584386437,-2381.061899749502,-12387.28125,0.4646622604557558,92.1,-11.297775697251268,-16.636962603535686,-30.137895584106445,2012-07-16 03:25:00
1,-1254.8776240226946,-2415.9999430681682,-12380.4833984375,0.4646622604557558,92.1,-10.054948968906645,-20.67962382181731,-27.821552276611328,2012-07-16 03:25:00
2,-1252.7218172054436,-2462.504956448599,-12371.0087890625,0.4646622604557558,92.1,3.2121757592341713,-23.24430106693981,-15.68859577178955,2012-07-16 03:26:00
3,-1250.5180884557797,-2508.9136384303188,-12361.0546875,0.4646622604557558,92.1,9.663634627858812,-15.871505579490387,-10.005003929138184,2012-07-16 03:27:00
4,-1248.2708139433453,-2555.226390315965,-12350.638671875,0.4646622604557558,92.1,8.754866603801176,-15.350576581132113,-11.068883895874023,2012-07-16 03:28:00
5,-1245.9764402783985,-2601.436511963562,-12339.724609375,0.4646622604557558,92.1,10.943829653518703,-14.920500540744795,-8.656463623046875,2012-07-16 03:29:00
6,-1243.6370074509725,-2647.5498292386364,-12328.3330078125,0.4646622604557558,92.1,11.9769105783988,-14.641523669562796,-8.37950611114502,2012-07-16 03:30:00
7,-1241.2523232896076,-2693.557743744073,-12316.4609375,0.4646622604557558,92.1,11.437302129833,-14.259491454310476,-9.577207565307617,2012-07-16 03:31:00
8,-1238.8218346694591,-2739.4609402522988,-12304.1044921875,0.4646622604557558,92.1,11.811481589459119,-13.681025252198946,-9.854697227478027,2012-07-16 03:32:00
9,-1236.3480741815276,-2785.257199356568,-12291.2685546875,0.4646622604557558,92.1,13.197228356268234,-12.586409018544805,-9.173416137695312,2012-07-16 03:33:00
10,-1233.8274173123664,-2830.945943517482,-12277.9580078125,0.4646622604557558,92.1,14.672839043123714,-11.358205754454062,-9.233316421508787,2012-07-16 03:34:00
11,-1231.2621333578136,-2876.5224775337583,-12264.1611328125,0.4646622604557558,92.1,12.892888299776216,-14.65213564945664,-8.666092872619629,2012-07-16 03:35:00
12,-1228.6509175368265,-2921.9876624145845,-12249.89453125,0.4646622604557558,92.1,10.312551237562149,-13.039747750847562,-12.668747901916506,2012-07-16 03:36:00
13,-1225.9944466544819,-2967.338127914347,-12235.1396484375,0.4646622604557558,92.1,11.55988378124664,-13.210424956207106,-11.646611213684082,2012-07-16 03:37:00
14,-1223.2935812074575,-3012.589888666483,-12219.896484375,0.4646622604557558,92.1,10.251151824216938,-12.361817015771756,-13.0028076171875,2012-07-16 03:38:00
15,-1220.5491030439698,-3057.6903058950566,-12204.1904296875,0.4646622604557558,92.1,10.513619936832484,-12.861603551625777,-11.525890350341795,2012-07-16 03:39:00
16,-1217.7586887741181,-3102.684767229149,-12188.001953125,0.4646622604557558,92.1,12.7668306251021,-12.925755228279927,-9.42278289794922,2012-07-16 03:40:00
17,-1214.923143123142,-3147.561823708989,-12171.328125,0.4646622604557558,92.1,9.620906432281409,-13.789112863469127,-12.215497970581055,2012-07-16 03:41:00
18,-1212.0426386003855,-3192.3129103793467,-12154.18359375,0.4646622604557558,92.1,14.307015209455026,-14.190443935267048,-7.871447563171388,2012-07-16 03:42:00
19,-1209.118080804219,-3236.938845780196,-12136.5546875,0.4646622604557558,92.1,13.042578081370998,-12.651805310578625,-10.948906898498537,2012-07-16 03:43:00
20,-1206.147792305448,-3281.4365341083785,-12118.443359375,0.4646622604557558,92.1,13.978734271783258,-11.9683014018524,-11.040640830993652,2012-07-16 03:44:00
