,x_mso_km,y_mso_km,z_mso_km,r_hel_AU,di,bx_mes_nT,by_mes_nT,bz_mes_nT,time_YYYYMMDDHHmm
0,-2137.7732492849937,1269.9702972553841,-12404.4072265625,0.3585091663436509,64.7,-12.71878946545229,13.162061062109473,-13.634758949279785,2012-08-11 19:28:00
1,-2173.022246201307,1269.0949682120065,-12398.1640625,0.3585091663436509,64.7,-7.614536560632758,19.270801403238174,-9.160462379455566,2012-08-11 19:29:00
2,-2219.9499490086,1267.89047399409,-12389.447265625,0.3585091663436509,64.7,-6.2667420860588265,15.098839618303485,-17.659101486206055,2012-08-11 19:30:00
3,-2266.790880430865,1266.6419499437104,-12380.24609375,0.3585091663436509,64.7,-4.098055538400948,12.411422829233146,-19.673545837402344,2012-08-11 19:31:00
4,-2313.530762804535,1265.3492907002694,-12370.5595703125,0.3585091663436509,64.7,-5.092940929229549,9.440677831020144,-20.580018997192386,2012-08-11 19:32:00
5,-2360.205480974724,1264.012306032555,-12360.37109375,0.3585091663436509,64.7,-9.00864499918102,5.752275093395183,-19.77351951599121,2012-08-11 19:33:00
6,-2406.774743529023,1262.6313540384779,-12349.7119140625,0.3585091663436509,64.7,-9.082729813199222,1.4645448641721899,-18.99798393249512,2012-08-11 19:34:00
7,-2453.249698528481,1261.2050767202745,-12338.5654296875,0.3585091663436509,64.7,-14.12239121951184,5.241323267517437,-15.374907493591307,2012-08-11 19:35:00
8,-2499.6284600476256,1259.7361632646914,-12326.935546875,0.3585091663436509,64.7,-14.699883752297756,8.764628460624607,-11.159205436706543,2012-08-11 19:36:00
9,-2545.9096392105453,1258.2233071852625,-12314.8271484375,0.3585091663436509,64.7,1.1090124424271863,16.597463852872714,-17.9221134185791,2012-08-11 19:37:00
10,-2592.091134854718,1256.6654117351684,-12302.2197265625,0.3585091663436509,64.7,-0.3965470860813482,14.179920249815545,-20.3120174407959,2012-08-11 19:38:00
11,-2638.1708839245252,1255.0637120062365,-12289.1474609375,0.3585091663436509,64.7,-0.9429118721760724,11.031139689296946,-22.423269271850586,2012-08-11 19:39:00
12,-2684.1469476267403,1253.4184441719915,-12275.578125,0.3585091663436509,64.7,-2.51456224288097,9.178799619067343,-23.371442794799805,2012-08-11 19:40:00
13,-2730.0176947363016,1251.7283312676573,-12261.5224609375,0.3585091663436509,64.7,-8.151272414544612,10.328428809632127,-20.8208236694336,2012-08-11 19:41:00
14,-2775.780695586047,1249.995636825055,-12247.0,0.3585091663436509,64.7,-9.063363932846016,11.953117358912024,-19.14867782592773,2012-08-11 19:42:00
15,-2821.4348983899213,1248.2177835685711,-12231.978515625,0.3585091663436509,64.7,-9.429071069024607,11.2558751022578,-19.316160202026367,2012-08-11 19:43:00
16,-2866.9772264131566,1246.3957611530639,-12216.4794921875,0.3585091663436509,64.7,-8.227733343753174,8.193085499197668,-21.7634334564209,2012-08-11 19:44:00
17,-2912.4070116516773,1244.5301428419134,-12200.49609375,0.3585091663436509,64.7,-17.152497250877115,-3.1405963632658636,-15.172839164733887,2012-08-11 19:45:00
18,-2957.7210002405714,1242.620464195059,-12184.0322265625,0.3585091663436509,64.7,-18.2929258266818,-0.2038863269414434,-13.923097610473633,2012-08-11 19:46:00
19,-3002.912501144249,1240.6663105523785,-12167.087890625,0.3585091663436509,64.7,-17.374394643087573,8.725569452875973,-11.427679061889648,2012-08-11 19:47:00
20,-3047.996696203881,1238.6691528043193,-12149.6484375,0.3585091663436509,64.7,-16.257734309340705,8.324438013041203,-9.683481216430664,2012-08-11 19:48:00
21,-3092.9534680301595,1236.6273834467847,-12131.734375,0.3585091663436509,64.7,-16.68141921093971,7.141138350939472,-14.45388126373291,2012-08-11 19:49:00
22,-3137.788493979527,1234.5411717029292,-12113.3349609375,0.3585091663436509,64.7,-14.815690207521351,6.007903022799956,-16.180170059204098,2012-08-11 19:50:00
23,-3182.4978964655297,1232.410989919801,-12094.455078125,0.3585091663436509,64.7,-17.304073528543576,13.168846924475574,-1.92035973072052,2012-08-11 19:51:00
24,-3227.0805670683203,1230.2378339278896,-12075.0859375,0.3585091663436509,64.7,-16.144430181448087,12.891070534997802,-4.3564772605896005,2012-08-11 19:52:00
25,-3271.533985146077,1228.0191824071462,-12055.2392578125,0.3585091663436509,64.7,-15.570178598425088,16.978063256662253,1.6505086421966553,2012-08-11 19:53:00
26,-3315.8569475382487,1225.7572724555175,-12034.9091796875,0.3585091663436509,64.7,-18.014348312255517,12.691792650318165,-0.1230067536234855,2012-08-11 19:54:00
27,-3360.046626034854,1223.451095891256,-12014.0927734375,0.3585091663436509,64.7,-18.224749962502038,6.384188606037243,-11.497209548950195,2012-08-11 19:55:00
28,-3404.10182365097,1221.100921497391,-11992.7939453125,0.3585091663436509,64.7,-14.119692402018758,2.894851778793779,-17.041587829589847,2012-08-11 19:56:00
29,-3448.0191032159155,1218.70679905386,-11971.0078125,0.3585091663436509,64.7,-15.257144418276887,-2.3047344320047127,-15.190509796142578,2012-08-11 19:57:00
30,-3491.798133815466,1216.2680310348933,-11948.7431640625,0.3585091663436509,64.7,-6.487658373695506,5.691429318321369,-21.115123748779297,2012-08-11 19:58:00
31,-3535.434464599791,1213.7844217834606,-11925.990234375,0.3585091663436509,64.7,-4.662719708742807,11.979990120640705,-21.147289276123047,2012-08-11 19:59:00
32,-3578.928272699033,1211.2574253944822,-11902.7490234375,0.3585091663436509,64.7,-7.415128229102763,9.403476636853123,-21.354150772094727,2012-08-11 20:00:00
