,mp_x,mp_y,mp_z
111,2439.7622675405532,0.0,518.3294292558409
148,2435.6073755171738,0.0,648.0179069972473
85,2431.8468178036746,0.0,709.2190547603927
25,2425.011380952722,0.0,791.0250391022764
139,2424.9457206417774,0.0,791.706563377925
158,2407.659120339419,0.0,936.8836897429901
65,2386.8331969747896,0.0,1065.3862842120352
68,2376.9662005220475,0.0,1117.1250262289964
188,2327.2914582615485,0.0,1329.8736721399086
67,2319.492757661332,0.0,1358.4265008437765
5,2316.9013708466723,0.0,1367.700055788243
106,2308.746864787863,0.0,1396.2354362353917
96,2287.868535741046,0.0,1465.316820117454
109,2257.817294181237,0.0,1556.4884747222834
32,2243.7746523484934,0.0,1596.3438663940833
193,2238.6730983373873,0.0,1610.4440639007685
3,2207.420982358348,0.0,1692.914833484968
44,2200.479861329874,0.0,1710.404613488063
180,2195.187644294211,0.0,1723.5557192098738
125,2170.2563488791407,0.0,1783.5199259715155
100,2161.9624052908302,0.0,1802.791597256615
137,2096.79117841268,0.0,1944.2658257219605
89,2088.137996033229,0.0,1961.8819567214161
90,2081.708890564153,0.0,1974.8129411735672
28,2070.5630210384643,0.0,1996.9240048234449
195,2067.862315569259,0.0,2002.2246170527842
129,2058.9152408217146,0.0,2019.6305715222632
34,2051.5806228645333,0.0,2033.7270366768305
54,2037.533947329129,0.0,2060.305534971212
57,1988.7238898248572,0.0,2148.728821775163
60,1975.3559639321359,0.0,2171.9678530553892
130,1957.2635502065598,0.0,2202.805443896791
108,1926.922679146885,0.0,2253.0277120806427
20,1922.3207601873494,0.0,2260.4899859374614
98,1908.9938667070141,0.0,2281.879946055272
41,1904.1421664452907,0.0,2289.587352520748
199,1881.1787620727744,0.0,2325.5105288394775
4,1848.1817276754957,0.0,2375.6022246424745
26,1844.7258598646292,0.0,2380.7492630965426
141,1789.2885215046083,0.0,2460.92342117545
38,1758.6349664587601,0.0,2503.446063841575
126,1713.645653368218,0.0,2563.729904077194
152,1708.286527206355,0.0,2570.751356585583
97,1684.7359516614779,0.0,2601.2232116124774
102,1649.591335175027,0.0,2645.578841825883
156,1624.6338172110854,0.0,2676.304681208876
165,1601.7048303088986,0.0,2703.994185645322
115,1550.6213859313518,0.0,2763.9268911955373
179,1536.7518892870767,0.0,2779.7997904301037
107,1524.010153412136,0.0,2794.237758419549
23,1414.3612793116458,0.0,2913.1414038744683
92,1327.200876611287,0.0,3001.4599295930925
116,1319.668568588011,0.0,3008.857011105897
51,1270.2311652285578,0.0,3056.531651174365
10,1041.2009698924062,0.0,3259.582422510764
149,1025.9128599953417,0.0,3272.1975638752874
53,1005.3187406949227,0.0,3289.0213752616837
30,982.964891387146,0.0,3307.0664017869544
15,948.730718520162,0.0,3334.2756057818788
154,847.9418340292631,0.0,3411.527560349906
145,777.6631494665485,0.0,3463.0190600316973
45,739.118847731912,0.0,3490.478570165652
79,271.3785419466043,0.0,3785.5408406757892
78,252.36642816049235,0.0,3796.218335947483
13,110.67104715918815,0.0,3872.98532259935
81,59.18566910233669,0.0,3899.7031658514557
91,-409.3016321007088,0.0,4117.44571460703
77,-580.0825357515674,0.0,4186.7878063214885
71,-616.8258220352079,0.0,4201.084992291249
151,-1077.662570539162,0.0,4363.617816725651
119,-1508.2705540752186,0.0,4491.126976350631
99,-1568.3032398047117,0.0,4507.287452523735
75,-1571.4758472640267,0.0,4508.131278625206
133,-1630.3219757917454,0.0,4523.599923863567
14,-1894.2312224174807,0.0,4588.8991290810745
172,-2033.0022403634919,0.0,4620.731967702969
48,-2386.1580694601366,0.0,4694.739712187936
58,-2564.386077637515,0.0,4728.608807635206
182,-2644.8154457543205,0.0,4743.190408169723
86,-2802.2066175906575,0.0,4770.530262531357
0,-3345.736882254448,0.0,4853.9803640207965
87,-3381.6346235103438,0.0,4858.9495149992
19,-3443.061137073163,0.0,4867.309507294339
94,-3593.540912840303,0.0,4887.051177918427
121,-3837.298967081617,0.0,4916.933814101597
142,-3857.8828907267402,0.0,4919.344824777386
124,-3872.18005568461,0.0,4921.009531132715
52,-3902.3737638026123,0.0,4924.498642416156
181,-3949.052881239288,0.0,4929.822742792197
184,-4148.218836416059,0.0,4951.617030890384
112,-4742.551367746138,0.0,5008.668980761938
128,-4887.935744349663,0.0,5021.010472672257
24,-5113.110304701721,0.0,5039.018423582489
8,-5323.82114915957,0.0,5054.736856868279
135,-5748.521883157637,0.0,5083.425765162702
83,-5749.977887850558,0.0,5083.517761825792
2,-6091.624064024034,0.0,5104.011203498787
55,-6370.062582707357,0.0,5119.218559795302
1,-7601.510912730421,0.0,5173.481960984729
187,-8457.541023821603,0.0,5201.648543970358
170,-8778.03107985512,0.0,5210.663214210952
178,-8779.648623130166,0.0,5210.706855430416
155,-8988.647650556943,0.0,5216.197397038446
37,-9035.445935476338,0.0,5217.3875819149025
140,-9059.068911853945,0.0,5217.983072632823
95,-10288.594931551977,0.0,5244.670571886874
9,-10316.054917052928,0.0,5245.181842722585
12,-10541.277499918968,0.0,5249.255008872757
171,-12061.36958535163,0.0,5271.985946813725
39,-12750.835978773574,0.0,5280.107507961875
