,x_mso_km,y_mso_km,z_mso_km,r_hel_AU,di,bx_mes_nT,by_mes_nT,bz_mes_nT,time_YYYYMMDDHHmm
0,7780.027970790777,-3677.4315366434453,-15350.4287109375,0.4117047787654938,97.8,-10.338064171532919,-10.598278197714166,-14.434408187866213,2011-04-09 10:02:00
1,7802.654584735996,-3681.288256162268,-15337.876953125,0.4117047787654938,97.8,-9.548098724838482,-5.288323081814099,-19.68570137023925,2011-04-09 10:03:00
2,7832.726725304908,-3686.386419123257,-15321.025390625,0.4117047787654938,97.8,-11.096111855356867,-7.3759578879164565,-17.104345321655273,2011-04-09 10:04:00
3,7862.677731267292,-3691.4314524819347,-15303.912109375,0.4117047787654938,97.8,-9.824219343048329,-13.759878234879865,-13.75547695159912,2011-04-09 10:05:00
4,7892.514501862679,-3696.423646428084,-15286.578125,0.4117047787654938,97.8,-7.733426232997942,-17.48657863194174,-10.938922882080078,2011-04-09 10:06:00
5,7922.23650350573,-3701.3674709579054,-15269.0419921875,0.4117047787654938,97.8,-8.937332215485355,-18.651051761545318,-4.2353787422180185,2011-04-09 10:07:00
6,7951.839314879356,-3706.2628783347322,-15251.2763671875,0.4117047787654938,97.8,2.3429877114267184,-21.26405136269059,1.9705562591552728,2011-04-09 10:08:00
7,7981.332651071963,-3711.099080644839,-15233.275390625,0.4117047787654938,97.8,-10.106399987205648,-5.8821499370286014,-11.904290199279785,2011-04-09 10:09:00
8,8010.707477560251,-3715.888760517497,-15215.0556640625,0.4117047787654938,97.8,-9.244147762838699,2.8610623578025667,-12.776476860046387,2011-04-09 10:10:00
9,8039.958789820244,-3720.6309471978166,-15196.6142578125,0.4117047787654938,97.8,-12.629018727812626,1.1196321728028948,-11.170753479003906,2011-04-09 10:11:00
10,8069.101404822548,-3725.316795224295,-15177.9765625,0.4117047787654938,97.8,-14.093512179206916,-2.9054915590365202,-9.718376159667967,2011-04-09 10:12:00
11,8098.12633483809,-3729.949658743353,-15159.0693359375,0.4117047787654938,97.8,-12.521662649256045,-5.795987021879682,-11.087689399719238,2011-04-09 10:13:00
12,8127.023133649359,-3734.528130772989,-15139.98828125,0.4117047787654938,97.8,-10.565040410706944,-5.609181831533078,-12.020743370056152,2011-04-09 10:14:00
13,8155.80443426408,-3739.0558528220868,-15120.6826171875,0.4117047787654938,97.8,-8.207285237550735,-8.775197972245339,-12.918203353881836,2011-04-09 10:15:00
14,8184.469800455132,-3743.538266584175,-15101.1240234375,0.4117047787654938,97.8,-0.8310973833317092,-10.037648233678064,-16.573760986328125,2011-04-09 10:16:00
15,8213.017479774542,-3747.957881507333,-15081.3505859375,0.4117047787654938,97.8,4.856400838594453,-17.595672949643372,-12.116732597351074,2011-04-09 10:17:00
16,8241.440576752546,-3752.3340360648,-15061.3720703125,0.4117047787654938,97.8,1.4520341257778548,-19.403553896079632,-8.231449127197267,2011-04-09 10:18:00
17,8269.742587803135,-3756.657546868621,-15041.19921875,0.4117047787654938,97.8,-7.945232722479721,-0.5625498292947535,-9.53108024597168,2011-04-09 10:19:00
18,8297.922249154319,-3760.9255961850295,-15020.7509765625,0.4117047787654938,97.8,-8.653799970321813,-5.33960075018237,-12.41047191619873,2011-04-09 10:20:00
19,8325.987286648058,-3765.141826465348,-15000.0927734375,0.4117047787654938,97.8,-5.094499241924922,-11.032172337840992,-7.886748790740968,2011-04-09 10:21:00
20,8353.9212769031,-3769.2990501651507,-14979.2587890625,0.4117047787654938,97.8,-6.706155727548777,-8.046432009074465,-9.838692665100098,2011-04-09 10:22:00
21,8381.735251228718,-3773.409411616172,-14958.146484375,0.4117047787654938,97.8,-6.662700538732025,-5.89328850555232,-12.213906288146973,2011-04-09 10:23:00
22,8409.43537962022,-3777.4708204439808,-14936.849609375,0.4117047787654938,97.8,-5.058403709639677,-7.967416944614642,-10.901019096374512,2011-04-09 10:24:00
23,8436.995811912842,-3781.470163446837,-14915.34765625,0.4117047787654938,97.8,-7.519733842030887,-5.156687856703812,-11.346906661987305,2011-04-09 10:25:00
24,8464.441717706242,-3785.418659110932,-14893.615234375,0.4117047787654938,97.8,-8.413054830592769,-6.585123366748236,-9.097196578979492,2011-04-09 10:26:00
25,8491.76882172066,-3789.3177172455908,-14871.65234375,0.4117047787654938,97.8,-11.726456959978378,-1.0878576800281199,-4.946432590484619,2011-04-09 10:27:00
26,8518.95749435063,-3793.162434454818,-14849.470703125,0.4117047787654938,97.8,-11.022520489704464,4.344335848206185,-5.375633239746094,2011-04-09 10:28:00
27,8546.031444822496,-3796.949453764872,-14827.0576171875,0.4117047787654938,97.8,-11.092269213507002,0.2970786542348236,-7.3802757263183585,2011-04-09 10:29:00
28,8572.967208247908,-3800.6894685585717,-14804.4814453125,0.4117047787654938,97.8,-11.662527854312152,-0.4802826029064277,-5.721383094787598,2011-04-09 10:30:00
29,8599.788249515215,-3804.3717854530983,-14781.625,0.4117047787654938,97.8,-11.643172216781243,1.6824824764380109,-5.181203842163086,2011-04-09 10:31:00
30,8626.475766563832,-3807.9997604797536,-14758.6015625,0.4117047787654938,97.8,-10.672975124419924,-0.2126456302718864,-7.06962776184082,2011-04-09 10:32:00
31,8653.038068442605,-3811.577959108079,-14735.302734375,0.4117047787654938,97.8,-11.268032014810489,-4.580262643826615,-5.579989433288574,2011-04-09 10:33:00
32,8679.470975345117,-3815.098948513216,-14711.80859375,0.4117047787654938,97.8,-10.474612168599153,-2.023615178879613,-7.614164352416992,2011-04-09 10:34:00
