,mp_x,mp_y,mp_z
54,2430.552356081888,247.8035018108311,0.0
51,2429.9634458496785,255.4014937876267,0.0
63,2425.557578129719,306.2965882840363,0.0
178,2422.1071237976826,340.8606519268006,0.0
134,2380.409062070183,620.5752731474811,0.0
40,2376.4070449537276,640.9286410173116,0.0
72,2363.3765095883305,703.0125864368013,0.0
58,2317.5992196058387,886.2128218112437,0.0
14,2280.8973618828436,1008.2592143684838,0.0
7,2271.057639775504,1038.3838992234607,0.0
5,2248.0455464111,1105.3881087284785,0.0
155,2227.964913791759,1160.430563116073,0.0
68,2172.4493782081217,1299.3701051753183,0.0
4,2065.853062066919,1527.1539992161177,0.0
196,2063.073515353351,1532.5701118317193,0.0
136,2062.3363162279124,1534.0027807352799,0.0
53,2055.7341591152895,1546.7631211834973,0.0
147,2029.345684424796,1596.5545788129514,0.0
24,2023.7355857780428,1606.9017537436703,0.0
143,2018.3063688077375,1616.8391895270395,0.0
37,1998.850019999548,1651.8572102700714,0.0
171,1963.1498671704683,1713.8480945326205,0.0
76,1935.14969311684,1760.587437682022,0.0
120,1923.2367372888712,1780.0078311987745,0.0
88,1850.0653181051207,1893.7891551774628,0.0
34,1822.9349086425289,1933.790409930538,0.0
117,1815.2573838089895,1944.9135989633553,0.0
169,1805.7415168625694,1958.583830794993,0.0
71,1724.3823430530483,2070.5629397910384,0.0
64,1696.6362858083885,2106.9028016061006,0.0
77,1668.4384926297082,2142.954443062623,0.0
164,1614.0378328068534,2210.1634613238384,0.0
180,1579.441261700815,2251.4053311035304,0.0
55,1572.3556587845965,2259.715588245553,0.0
30,1532.7636025478294,2305.3337330483073,0.0
15,1468.4282591557135,2376.6680909909496,0.0
162,1393.5721249805697,2455.6765015117685,0.0
193,1345.3077225398795,2504.5294309560772,0.0
110,1327.5576414108975,2522.1086746793176,0.0
62,1305.5294396636878,2543.6457285991496,0.0
183,1230.6778764344067,2614.6216922079066,0.0
152,1206.9045958375348,2636.4833207951947,0.0
145,1178.8330799123496,2661.894798754121,0.0
96,1034.2339230639082,2786.3447853004604,0.0
11,966.972400880606,2840.8405926719583,0.0
122,961.1002225213019,2845.5030494723887,0.0
142,823.7625878298957,2950.4555352016414,0.0
135,634.0954729327447,3083.6478285618764,0.0
115,578.9555424870233,3120.0635979877834,0.0
153,574.4521311202399,3122.9947367636432,0.0
140,271.4796038927094,3306.4838361520992,0.0
19,175.68209518765707,3359.3672957159633,0.0
82,-490.49896272898974,3672.019925258225,0.0
47,-493.713058400801,3673.3259974289194,0.0
132,-1089.7449420474045,3888.493381292445,0.0
25,-1310.2370616579544,3956.110351577825,0.0
79,-1602.0530284751237,4037.2120649666726,0.0
157,-1634.4884212140612,4045.6821151602308,0.0
192,-1744.482560804163,4073.644214499424,0.0
41,-1802.0629030986938,4087.826263826816,0.0
2,-1941.347886578447,4120.89232653226,0.0
87,-1947.4778903190793,4122.308415978038,0.0
9,-1949.1813546363367,4122.701358288923,0.0
39,-2188.9364639003466,4175.599158698546,0.0
194,-2401.734236197304,4218.788121846375,0.0
0,-2977.212658805913,4320.173516432885,0.0
151,-2986.384114276808,4321.625905728638,0.0
83,-3145.409005949796,4346.072468341521,0.0
43,-3170.4913991321428,4349.80439820075,0.0
190,-3396.0475711802696,4381.927179295412,0.0
148,-3413.9618767636916,4384.371468660173,0.0
126,-3669.3490158649156,4417.614143271231,0.0
70,-3677.9374745290925,4418.681885769899,0.0
156,-3780.0855113858574,4431.142645757937,0.0
31,-3868.7046128046004,4441.605610003,0.0
90,-3886.1648034052514,4443.630034204334,0.0
66,-4276.372506051388,4485.887875541127,0.0
89,-4301.24677759383,4488.3984536914495,0.0
114,-4314.273936975838,4489.705009200215,0.0
175,-4519.708438414913,4509.57893348831,0.0
44,-5384.727862123302,4580.088605909642,0.0
59,-5441.533526123111,4584.072955325824,0.0
12,-5516.096505349458,4589.19640138461,0.0
102,-5587.00969394137,4593.959759511544,0.0
61,-5727.45150100728,4603.089822130214,0.0
100,-5729.281056623516,4603.206166882107,0.0
129,-6295.999432000208,4636.296089749276,0.0
20,-6615.845906577604,4652.637282683864,0.0
57,-6783.57313390293,4660.613738104581,0.0
10,-7462.143580214935,4689.2460010182795,0.0
119,-7755.253999086914,4700.030175542278,0.0
124,-9048.858604749164,4738.726123130615,0.0
176,-10222.865855962371,4764.4334343855435,0.0
35,-10896.449180641117,4776.267597223978,0.0
189,-12646.840519667194,4799.954432713066,0.0
